"","x"
"1","ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저 엑스트라한테 한 화 분량 몰빵해준 이유는 현실 풍자 아닐까""해줘"""
"2","ㄹㅇ 근데 이건 현실 풍자한거 같다. 평등을 외치면서 평등할려는 노력은 절대 안함. 자신들이 원하고 불리한것만 평등을 외침"
"3","분량 대단하다못해 은혜롭다 ㄹㅇ"
"4","인류를 저버리고 무한을 선택한 가주..헨도 록 블러드메더, 헨도 가문을 의미하는 떡밥이 등장했습니다. 이로서 유한성의 이름이 가지는 유한한 파편이라는 의미, 유한성이 헨도가문과 연관이 있다는 떡밥이 이번화에서 등장했습니다..!!"
"5","라샹족 개빡치는데... 하라챠만 ㅈㄴ 불쌍함"
"6","유한성이 탑밖에 있는 블랙홀 알고있는거 엄청 큰 떡밥아님?"
"7","분량 (네이버 시리즈 기준)70화-239컷71화-261컷72화-260화73화-207컷찬양하라 갓시우..."
"8","지금 솔직히 유한성이 가장 미스테리가 많은 인물이다... 유한성편도 기대해볼 수 있을듯"
"9","호의가 계속되니까 그게 권리인 줄 아네...실제로도 이런 사람들 많은 것 같아서 뭔가 마음이 안 좋다"
"10","유한성이 아직도 남자인지 모르면 그건 웹툰을 발로 보는거냐"
"11","헨도가문 가주랭킹16위-헨도 록 블러드메더직계 혈통을 보유한 인물이 가장 많은 가문이지만, 가주인 헨도 록 블러드매더와 얽힌 모종의 이유 탓에 이들은 모두 단명하며, 설령 랭커가 된다 하더라도 신수를 이용한 불로영생 자체가 아예 불가능하다고 한다.이 ""단명의 저주"" 때문에 헨도 가문은 10가문 중에서도 랭커의 수가 가장 적으며, 세력 역시 10가문 중 가장 약하다. 이 때문에 가문을 이끄는 중역들은 전원 모두 '블러드매더'의 직계 혈통이 아닌 양자, 양녀들이 가문의 구성원은 아직 등장하지 않았으나, 2부 219화에서 자하드의 공주인 헨도 록 글래드메리 자하드의 이름이 언급되었으며, 2층 총 시험 감독관인 유한성이 이 가문의 가주인 '헨도 록 블러드매더'와 연관이 깊다고 한다.그래서 단명이라 '유한'성인가보다"
"12","그냥 딱 봐도 사회 전체 풍자하는 건데뭘 그렇게까지 과대해석함괜히 논란거리 만들고 있네"
"13","근데 이런 서사는 전에도 나왔었음. 대표적으로 카이저(엘레인), 도원(물망초)처럼, 본인소속 집단을 위해 본인을 희생하지만 나중엔 그걸 받는 입장이 당연시 여기게되는 서사 그때는 이렇게까진 댓글들이 안그랬는데... 확실히 이슈화되니 더 그런듯. 그냥 작가님이 꾸준히 전하고싶은 메세지정도로만 받아들이면 안됨? 저격이니 뭐니 자꾸 갈등조장만 됨.."
"14","정치 얘기 하지말라는 베댓들도 좀 내리면 안 되냐? 관련 베댓 다 내려야 만화 얘기가 나오지"
"15","좀 조용하고 웹툰이나 보자 뭐하는거야"
"16","지금쯤 끝나겠지해도 안끝나네 한편을 봤는데 책 한권을 읽은것 같아"
"17","알고보니 S작가님,I작가님,U작가님 이렇게 3명 있는거 아니여? ㅋㅋ 분량이 1명이 했다는게 믿기지 않을 정도로 엄청나구만유 ㅋㅋ 대단하셔유"
"18","만화는 질병이 맞다.시우의 만화를보면 병에 걸릴수 밖에 없다. 바로 상사병에 걸리기 때문이다."
"19","엥 싸우는 애들 별로 없네 밑에 보고 많이 싸운줄알았더니 혼자 그랬네"
"20","언냐들 살찐 손가락으로 부들부들 떨면서 악플 적는거 티나면 개추ㄱㄱ"
"21","신의탑 작가는 악마다. 쿠키로 수많은 사람들의 코묻은돈을 빼앗아가는 악마중의 악마다. 시우 그의 만화를 보고 쿠키를 지키는것은 불가능하다."
"22","설명 너무 많아서 보다가 스크롤 그냥 내리게 되노 ㅋㅋ"
"23","작가 일베 였어?"
"24","정치얘기 하지말란것들은 이전에 더 심하게했으면서 ㅋㅋ"
"25","해줘ㅋㅋㅋ"
"26","진짜 존나게 작위적인 과거설정이네"
"27","참교육같은거에 지고있지말자"
"28","???: 밥줘"
"29","이번화 우리 한성이 완전 잘생겼어요..!!!ㅠㅠㅜㅜㅠㅡ"
"30","하라챠 아카자 아님?"
"31","신의탑 작가는 웹툰을 연재하는것이 아니라 예술작품을 만들고 있다. 사회에 대한 날카로운 비판을 담은 예술작품을"
"32","옴니버스 만화가 됐네;"
"33","응아니야"
"34","분량 미친거아닙니까 작가님"
"35","설정붕괴 요소1. 탑 최고의 주술사인 아를렌도 자기 아들 못살리는데 베이로드폴에게 옆구리 빵꾸나서 죽은 쿤은 불금붕어 달고 살아남2. 본지 얼마안된 댕댕한테는 심장이라도 꺼내줄것마냥 발암일으키는 성격 보여줬는데 지 도와주는 아군 죽어나갈때는 눈꺼풀 하나 움직이지 않는 주인공3. 전쟁의 목적이 자기 사부 구출하는건데 정작 자기 사부 오체불만족 + 감금한 장본인 칼라반이랑 동맹(동맹하자고 물어보니까 ""어쩌죠?"" ㅋㅋ)4. 최고의 지략가라는 쿤 아게로 이그니스는 머리쓰는 장면은 없어진지 오래고 뒤에서 말만 하는 말만충5. 연 이화 뱀머리한테 당했고 당한거 알고 있음에도 불구하고 또 동맹6. 동료를 끔찍이 아끼는 주인공은 자기 동료 프린스랑 아크랩터 죽인 화이트랑 동맹7. 전쟁중에 게임8. 떡밥 회수율 종범. 많은 이들이 아직 스토리 절반도 안왔다 하는데 10년이 두배면 신생아 대학 보낼때까지 연재할거라는 소리인데 어불성설임."
"36","이번화검열당하면 페미버인증이지뭐 ㅋㅋㅋㅋ"
"37","내려도 내려도 끝이없어서 공부하다 2번거쳐봄ㅋㅋㅋ"
"38","페미저격 ㅋㅋㅋㅋ"
"39","3685"
"40","굳이 특정집단아니더라도 호의를 둘리로 답하는 무분별한노조, 군인이나 서비스업 종사자 등에 대한 대우 등 사회에 만연한 문제 모두를 풍자하는 내용인것같네요"
"41","헨도는 아마 다른 10가주들과 다르게 수명에 제한이 있어서 영생을 위해 자기 자식들을 희생하는거로 앎주술같은거로 자식들 수명 빨아먹고 사는 거라 생각되는데유한성이 아마 그 핏줄일 가능성이 높다고 생각함자기 자식들 그냥 수명연장용으로 써지르고 다닌다는점에서 일단 쓰레기 확정이지 뭐친구들 다 영생가능한데 자기만 못하면 꼴받아서 그럴수도 있다곤 생각하는데 쓰레기는 쓰레기"
"42","유리바닥이 생각나는 화네"
"43","설명충^^겸 엑스트라~~블리치인가?! 요약하면 혼자 생각은 길고 현실은블랙홀 빨려들어가다 죽는게 다임.."
"44","와 마지막에 ""싫어. 그건 우리한테도 있잖아"" 보고 소름 돋음ㄷㄷ"
"45","언제나 사회에서 저란 소수의 희생을 당연시하고 고마워하지 않는 사람들은 존재했음. 비판받아 마땅한 대상이고현재 한국에서 그런 사람들이 모인 집단에선 이번 회차를 싫어할수밖에 없겠지"
"46","그성별 풍자 ㅋㅋ"
"47","오늘은 풍자로서 그 의무를 다하였다 (박수)"
"48","아 페미년들 찔려서 ㅂㄷㅂㄷ거리는거 개꿀잼~~ㅋ"
"49","아카자가 라샹족임?"
"50","유한성은 헨도가문의 가주를 죽이고 싶어하는건가"
"51","걔네들 풍자하는거네 ㅋㅋ 빼에에엑 ㅋㅋ"
"52","남페미들 페미들 해달라는 대로 해주다가 저렇게 통수맞음 ㅋㅋㅋ"
"53","해줘!"
"54","""자네 혹시 트위터 하나?"""
"55","이거 검열 당하는거 아냐?"
"56","ㅇ래놓고 다음에 컷수 100대로 내려가면 난리 떨거 아니야 .... ㄹㅇ 호의가 계속되면 권리인 줄 안다가 맞는듯"
"57","짭카자:예아~ 나는 페미들이 원하는건 뭐든 다해주는 남페미 입니다."
"58","내가 보기엔 페미 저격한거는 아니고 호의가 권리인줄 아는 놈들을 저격한건데 우연히 페미가 거기에 딱들어맞는거인듯"
"59","아니...이런 미친분량이 돌아왔다니 믿기질않아.."
"60","""너 페미니스트가 되어라"""
"61","유한성 가만 보면 남자인 것도 그렇고 머리색 눈도 왕난이랑 비슷하단 말이야?"
"62","작가님이 페미저격 했다고 프레임 씌우지마세요 페미와 관련된 묘사나 언급은 일절 없습니다 페미가 떠올랐다면 당신이 페미들을 이번화에 나온 사람들과 같다고 생각하기 때문이겠죠"
"63","작가님 왜 갑자기 페미 저격을 하신간가요...?"
"64","분량 많음. 출연진도 대사도 많음"
"65","웹툰을 발로 본건 아니지만 유한성이 이쁜걸 어캄"
"66","와 며칠동안 1화부터 달려서 여기까지 왔다ㅠㅠㅠ"
"67","신의탑이 너무 넘사벽이라고 생각하진 마세요..지금 사람들이 복귀한지 몰라여.."
"68","유한성이 전투중에 고양이한테 당신은 모릅니다제가 누구인지가 아니라 제가 무엇이지.라는 대사가무슨 의미 일까요.. 자신이 무엇인지 모른다라..."
"69","신의탑에서 찾아볼 수 있는 소련의 영향력1. 신=레닌2. 시험의 층=공산당 입당 테스트3. 밤의 태도-> 자신의 힘이 강해졌다고 남을 깔보지 않고 동료들과 자신을 동등하게 생각하는 점에서 사회주의적인 면모를 찾아볼 수 있음4. 화련=작가가 소련의 상징인 붉은색을 포인트로 그림5. 20층에서 밤이 투표를 거부하고 결국 싸움-> 민주주의의 비극적인 결말을 암시함6. 지옥열차=시베리아 횡단 열차를 카피함7. 숨겨진 층에 대하여 발설하면 기억을 잃음= 소련에서 반역을 일으키려는 자들을 처단함8. 라샹족=깨어있는 사회주의자들"
"70","작가님 힘내세요"
"71","페미들 이번화보고 부들부들 떨듯"
"72","페미가 발끈 못하는 이유 = 발끈하면 인정하는거라서..오 페미들 능지떡상했누!"
"73","대깨문 페미들 저격이구만 ㅋㅋ지들이 노력하기는 싫고 남이 노력한건 깎아내리고 해줘해줘 징징징 오또케"
"74","한 3주분 본 기분이다 몰입도도 최고"
"75","어? 이거 설마.... '해줘'세대?!"
"76","자꾸 분량 분량 하는데 작가님 본인이 말했는데 분량보다는 내용을 봐줬으면 좋겠다고. 그런데 자꾸 분량으로 다른 웹툰이랑 비교질하고. 이게 작가한테 정작 해가 된다는 생각은 못하나. 분량만 칭찬하지 말고 내용도 좀 제대로 보길."
"77","다들 신의탑의 전성기가 1부 라고 하지만, 가장큰 영광을 얻는 순간은 지금이 아닐까 싶다."
"78","무한과 유한이라 유한성 그럼 무한성도있나?"
"79","미국 흑인 스타들이 가족,친척,친구들 먹여사리느라 파산하는거 생각나네"
"80","페미 돌려까기 on"
"81","."
"82","유한성이 자하드 가문일 가능성은 없는거임?"
"83","찔리는 사람 개많나 보네 ㅋㅋㅋㅋㅋ"
"84","굳"
"85","<U+0001F44D>"
"86","사람에게 물고기를 주는 것은 그에게 물고기 잡는 방법을 가르쳐주는 것만 못하니라(授人以魚, 不如授人以漁)"
"87","왜 3위지?"
"88","아니 작가님 무리하시다가 또 아프지 마시고 분량조절 좀 해요..ㅠㅠ 또 다치실까봐 걱정입니다.."
"89","진짜 분량이랑 내용 미쳤다 이게 어떻게 일주일만에 가능한 양이냐;;;"
"90","칼라반 나오기 전에 아를렌안다고 라헬이 직접언급, 밤이 1화에서 갇혀있는 동굴에 라헬이 들어옴 처음 들어올때 놀라는 낌새는 없었던걸로 봐서 이미 안에 공간이있다라던지 밤이 있는것을 알고있고 슴겨진층에서 어린자하드랑 싸울때도 밤의 운명을 알고있던걸로봐서 후자인 밤이있ㄴ는걸 알았을거임 그래서 어떻게 아를렌과 밤을 직접아냐 먼저 밤이 탄생한건 탑밖 신에게 아를렌이 맞겼다고하는데 아마 그 동굴에 자기 자식의 시체를 둔걸거고 라헬은 그걸알았다 이걸로 내가 추측을 해보니까 좀 아다리가 안맞울수도있는데 라헬인성도 거지고 로포비앙가주도 V는 거지같은사람이라했으니까 V본인이거나 아니면 v가 라헬에게 밤의 위치나 밤의 존재이유나 이런걸 설명한가ㅓㅅ같은 비선별위원들은 탑에 엄청난일을 가져온다했으니 그건 라헬도 마찬가지일테니까 V랑 라헬은 아주 밀접한관ㄱ계가있는게 아닐까 끄적인 이유는 내가 나중에 이댓 보고 내 추측이 맞았는지 볼려고임!!"
"91","분량 실화인가요?!? 너무 은혜롭다 못해 경이로워요*_*항상 감사합니다^______^* 몸 꼭 챙기셔요ㅎㅎㅎ"
"92","갑자기 이럴때 헤돈이 보고싶다. 헤돈이나 우렉이 사외서 야스라챠 ㅈㄴ 팼으면"
"93","인싸들은 찐따가 페미 패는 것도 불편해하는 족속이었냐?어이쿠 그건 몰랐네 ㅋㅋㅋㅋㅋㅋㅋㅋ"
"94","다시 보니깐 긴장감이 없어서 재미가 없네 너무 많이 쉬워서 감이 없어졌어봐"
"95","이번화는 인정이다ㅋㅋㅋㅋㅋ"
"96","신의탑 작가는 웹툰을 연재하는것이 아니라 예술작품을 만들고 있다. 사회에 대한 날카로운 비판을 담은 예술작품을"
"97","현실 찐따들 넷상에서 일진놀이 하느라 신났네ㅋㅋㅋㅋㅋㅋㅋㅋ페미 어쩌구 저쩌궄ㅋㅋㅋ지들은 뭐 페미랑 다른가?ㅋㅋㅋㅋㅋ다 똑같은 찐따들이ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
"98","호이가 계속되면 둘리인줄 안다"
"99","하나도 궁금하지 않은 뒷이야기였음"
"100","걍 웹툰 얘기만 하면되지 꼭 저렇게 억지로 갈등 조장하는 댓글 있누..ㅠ 작가님은 그냥 전부터 남녀 떠나서 호의가 계속되면 권리인줄 안다를 얘기하고 싶었던 것 같은데 저런 몇몇 댓글이 물 흐리누 ㅠ"
"101","만화를 만화로만 보고싶다"
"102","웹툰은 발로 보든 손으로 보든 볼수있어요"
"103","연재 ""해줘"""
"104","내 생각엔 저 제어못하는 괴물 밤은 깰듯 근데 진짜 유한성 미스터리네...유한성편도 기대할수있을듯ㅠ"
"105","과거 보여주고 끝날줄 알았는데 아직 반이나 더남아있었네...미친 분량 ㄷㄷ;"
"106","페미 까는거냐 쿵쾅이들 달려올라 조심하세요"
"107","그런데 진짜 얼탱이가 없는게 헬퍼작가랑 협업해서 네이버 웹툰 전체검열이라는 역대급 민폐를 저지른 페미들은 무슨 염치로 아직 댓글창 기웃거리는 거임? 기가차네 ㅋㅋㅋㅋㅋㅋㅋ"
"108","너무나도 완벽한 한 화였습니다"
"109","문재인이 주도하는 질서 그것은 거역할 수 없어"
"110","하라챠 회상부분마지막에서 이제 다음주를 기다려야겟네 생각하면서 보고잇엇는데 더남앗어 ㅋㅋ분량실화?"
"111","라헬이 고통 당하는게 나와야 더 행복할듯"
"112","생각해보니 라헬안나온지 한참이네 너무 행복하다"
"113","무능한자들이 정치하면 이렇게 됩니다몇몇 유능한자들 쪽쪽 빨아먹다가 자연스럽게 무너짐"
"114","신탑만화 대단하지...하지만 다른만화들을 까는건 아니다... 초창기때부터 팬으로써 신탑은 넘사벽이긴하지만 다른 작품들의 작가들도 자기나름대로의 작품을 만들어가는거지..결론 내 기준으로볼때는 신탑이 넘사벽은 맞긴함.."
"115","완벽이란 이런건가?"
"116","하라챠가 말하던 위선자는 결국 본인을 가리키는 말이었네요"
"117","서로 한쪽도 양보할생각이없으니까 이사단이지..."
"118","왜 성별가지고 싸우고있냐고..."
"119","원래 인간이 그렇지"
"120","인간은 서로 불공평하니까 배려하고살아가는거지.."
"121","ㅇㄱㄹㅇ"
"122","네이버 요즘 댓글 수준보면 답안나오는데 ㄹㅇ"
"123","나는 정상적인 사람이 아닌 사람을 페미랑 한남으로 정의하는건데 페미써놓는 그 분들은 일반인이 아니신지..."
"124","ㄹㅇ 평등을 원하면서 평등해지려고 노력하지는 않고 “해줘” 만 말하는 그 성별이네 ㅋㅋㅋㅋㅋㅋㅋ"
"125","한남 써놓고 일반인을 자처하네ㅋㅋㅋㅋㅋㅋㅋ정도껏 해라"
"126","소비에트 연방 찬가 자유로운 공화국의 굳건한 단합을위대한 러시아가 이루었다인민의 자유의 의지가 만든영원이 불멸하리라, 위대한 소비에트 연방이여 찬양하라 자유로운 우리의 조국인민의 우애는 강고한 성채요레닌의 당은 인민의 힘이니우리를 사회주의의 승리로 이끌어 주리라 폭풍우 속에서도 자유의 태양은 우리를 비추고위대한 레닌은 빛이 되어 길을 밝혀주었으며우리를 정의로 인도하였으며,노동과 위업의 기쁨을 전수해줬노라! 찬양하라 자유로운 우리의 조국인민의 우애는 강고한 성채요레닌의 당은 인민의 힘이니우리를 사회주의의 승리로 이끌어 주리라 공산주의의 끝없는 승리 속에서우리 조국의 미래를 보네영광스러운 조국의 붉은기에영원토록 몸바쳐 헌신하리라! 찬양하라 자유로운 우리의 조국인민의 우애는 강고한 성채요레닌의 당은 인민의 힘이니우리를 사회주의의 승리로 이끌어 주리라"
"127","엑스트라가 한 화 다잡아먹네 ㄹㅈㄷ 하차합니다"
"128","오우 카오스 그대는 혹시 꼴페미 100키로인가??ㅋㅋㅋㅋ팩폭쳐맞고 노잼이라카농"
"129","에효..난 페미랑 한남이랑 싸우는 것도 이해안간다..일반인눈으로 둘다 도찐개찐둘다 되도안되는 논리없이 욕하는거보면 진짜 답없다..둘이 꽁냥꽁냥하지 왜 이런데까지 와서 우리가 느그들 추잡한 말까지 봐야하나..."
"130","""만신"""
"131","만신ㅇㅈ"
